From,To,Strength,Technique,Description,Collator,Reference 
Medial nucleus of the amygdala posteroventral part (MEApv),Medial preoptic nucleus medial part (MPNm),very strong,PHAL,very dense mostly in caudal pole,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Ventromedial nucleus of the hypothalamus ventrolateral part (VMHvl),very strong,PHAL,"very dense in shell, earlier: Canteras et al. JCN 360:213, 1995 said no input, fibers-of-passage in shell, must be resolved with electronmicroscopy",Larry Swanson,"Petrovich G.D.,... - Combinatorial amygdalar inputs to... (2001) , pp. 247-89"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anteroventral part (MEAav),Ventromedial nucleus of the hypothalamus central part (VMHc),very strong,PHAL,"Collator note: no pure injections, so only a few obvious terminal fields could be inferred from control injections",Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anteroventral part (MEAav),Ventromedial nucleus of the hypothalamus dorsomedial part (VMHdm),very strong,PHAL,"Collator note: no pure injections, so only a few obvious terminal fields could be inferred from control injections",Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posterodorsal part (MEApd),Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Intermediate periventricular nucleus of the hypothalamus (PVI),very strong,PHAL,earlier: see Caffe et al. JCN 261:237 1987 rat,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,very dense mostly in caudal pole,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Medial preoptic nucleus medial part (MPNm),very strong,PHAL,very dense mostly in caudal pole,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Ventromedial nucleus of the hypothalamus ventrolateral part (VMHvl),very strong,PHAL,"very dense in shell, earlier: Canteras et al. JCN 360:213, 1995 said no input, fibers-of-passage in shell, must be resolved with electronmicroscopy",Larry Swanson,"Petrovich G.D.,... - Combinatorial amygdalar inputs to... (2001) , pp. 247-89"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anteroventral part (MEAav),Ventromedial nucleus of the hypothalamus central part (VMHc),very strong,PHAL,"Collator note: no pure injections, so only a few obvious terminal fields could be inferred from control injections",Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anteroventral part (MEAav),Ventromedial nucleus of the hypothalamus dorsomedial part (VMHdm),very strong,PHAL,"Collator note: no pure injections, so only a few obvious terminal fields could be inferred from control injections",Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posterodorsal part (MEApd),Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Intermediate periventricular nucleus of the hypothalamus (PVI),very strong,PHAL,earlier: see Caffe et al. JCN 261:237 1987 rat,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,very dense mostly in caudal pole,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Medial preoptic nucleus medial part (MPNm),very strong,PHAL,very dense mostly in caudal pole,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Ventromedial nucleus of the hypothalamus ventrolateral part (VMHvl),very strong,PHAL,"very dense in shell, earlier: Canteras et al. JCN 360:213, 1995 said no input, fibers-of-passage in shell, must be resolved with electronmicroscopy",Larry Swanson,"Petrovich G.D.,... - Combinatorial amygdalar inputs to... (2001) , pp. 247-89"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anteroventral part (MEAav),Ventromedial nucleus of the hypothalamus central part (VMHc),very strong,PHAL,"Collator note: no pure injections, so only a few obvious terminal fields could be inferred from control injections",Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anteroventral part (MEAav),Ventromedial nucleus of the hypothalamus dorsomedial part (VMHdm),very strong,PHAL,"Collator note: no pure injections, so only a few obvious terminal fields could be inferred from control injections",Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posterodorsal part (MEApd),Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Intermediate periventricular nucleus of the hypothalamus (PVI),very strong,PHAL,earlier: see Caffe et al. JCN 261:237 1987 rat,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,very dense mostly in caudal pole,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Medial preoptic nucleus medial part (MPNm),very strong,PHAL,very dense mostly in caudal pole,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Ventromedial nucleus of the hypothalamus ventrolateral part (VMHvl),very strong,PHAL,"very dense in shell, earlier: Canteras et al. JCN 360:213, 1995 said no input, fibers-of-passage in shell, must be resolved with electronmicroscopy",Larry Swanson,"Petrovich G.D.,... - Combinatorial amygdalar inputs to... (2001) , pp. 247-89"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anteroventral part (MEAav),Ventromedial nucleus of the hypothalamus central part (VMHc),very strong,PHAL,"Collator note: no pure injections, so only a few obvious terminal fields could be inferred from control injections",Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anteroventral part (MEAav),Ventromedial nucleus of the hypothalamus dorsomedial part (VMHdm),very strong,PHAL,"Collator note: no pure injections, so only a few obvious terminal fields could be inferred from control injections",Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posterodorsal part (MEApd),Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Intermediate periventricular nucleus of the hypothalamus (PVI),very strong,PHAL,earlier: see Caffe et al. JCN 261:237 1987 rat,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,very dense mostly in caudal pole,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Medial preoptic nucleus medial part (MPNm),very strong,PHAL,very dense mostly in caudal pole,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala posteroventral part (MEApv),Ventromedial nucleus of the hypothalamus ventrolateral part (VMHvl),very strong,PHAL,"very dense in shell, earlier: Canteras et al. JCN 360:213, 1995 said no input, fibers-of-passage in shell, must be resolved with electronmicroscopy",Larry Swanson,"Petrovich G.D.,... - Combinatorial amygdalar inputs to... (2001) , pp. 247-89"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anteroventral part (MEAav),Ventromedial nucleus of the hypothalamus central part (VMHc),very strong,PHAL,"Collator note: no pure injections, so only a few obvious terminal fields could be inferred from control injections",Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anteroventral part (MEAav),Ventromedial nucleus of the hypothalamus dorsomedial part (VMHdm),very strong,PHAL,"Collator note: no pure injections, so only a few obvious terminal fields could be inferred from control injections",Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
